Official Code 2001 Edition,Act Number,Section of Act,Law Number,Type of Change,Act Type,Expiration Date,Bill Title,DCR Cite
32-1301,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-1301,20-426,2(a),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-1303,20-544,2(a)(1),NA,Note,E,03/29/15,Wage Theft Prevention Correction and Clarification Emergency Amendment Act of 2014,62-00243
32-1303,20-426,2(b),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-1303,20-426,2(b),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-1303,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-1303 et al.,20-544,2(b)(c),NA,Note,E,03/29/15,Wage Theft Prevention Correction and Clarification Emergency Amendment Act of 2014,62-00243
32-1304,20-426,2(c),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-1304,20-426,2(c),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-1304,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-1306,20-426,2(d),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-1306,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-1306,20-426,2(d),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-1307,20-426,2(e),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-1307,20-426,2(e),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-1307,20-544,2(a)(2),NA,Note,E,03/29/15,Wage Theft Prevention Correction and Clarification Emergency Amendment Act of 2014,62-00243
32-1307,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-1307.01,20-426,2(f),PEND,New Section,,,Wage Theft Prevention Act,61-10157
32-1307.01,20-426,2(f),PEND,New Section,,,Wage Theft Prevention Act,61-10157
32-1307.01,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-1308,20-544,2(a)(3),NA,Note,E,03/29/15,Wage Theft Prevention Correction and Clarification Emergency Amendment Act of 2014,62-00243
32-1308,20-426,2(g),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-1308,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-1308,20-426,2(g),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-1308.01,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-1308.01,20-426,2(h),PEND,New Section,,,Wage Theft Prevention Act,61-10157
32-1308.01,20-426,2(h),PEND,New Section,,,Wage Theft Prevention Act,61-10157
32-131.06,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-131.06,20-426,4(a),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-131.08,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-131.08,20-426,4(b),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-131.10a,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-131.10a,20-426,4(c),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-131.12,20-426,4(d),PEND,Amend,,,Wage Theft Prevention Act,61-10157
32-131.12,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-1311,20-426,7,PEND,Note,,,Wage Theft Prevention Act,61-10157
32-1311,20-426,2(i),PEND,New Section,,,Wage Theft Prevention Act,61-10157
32-1311,20-426,2(i),PEND,New Section,,,Wage Theft Prevention Act,61-10157
32-1312,20-544,2(a)(4),NA,"Note, New Sec",E,03/29/15,Wage Theft Prevention Correction and Clarification Emergency Amendment Act of 2014,62-00243
32-1341 - 32-1345,20-422,2 - 6,20-152,New Section,,,Fair Criminal Record Screening Act,61-08904
32-1371 - 32-1372,20-525,2 - 3,NA,"Note, New Sec",E,03/18/15,Prohibition of Pre-Employment Marijuana Testing Emergency Act of 2014,61-13115
32-1451 - 32-1457,20-531,2 - 8,,New Section,,,Non-Profit Certified Business Enterprise Amendment Act,
32-1535,20-438,2,PEND,Amend,P,,Workers' Compensation Statute of Limitations Amendment Act,61-10733
32-1535,20-436,3,NA,Note,E,11/18/14,Workers' Compensation Statute of Limitations Second Emergency Amendment Act of 2014,61-10728
32-1535,20-438,3,PEND,Note,P,,Workers' Compensation Statute of Limitations Amendment Act,61-10733
32-1535,20-436,2,NA,Note,E,11/18/14,Workers' Compensation Statute of Limitations Second Emergency Amendment Act of 2014,61-10728
32-1661,20-424,2122,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
32-1661,20-377,2122,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
32-1661,20-449,2122,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
32-1671,20-377,9015,NA,"Note, Repeal",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
32-1671,20-424,9015,PEND,Repeal,P,,FY 2015 Budget Support Act,61-09990
32-1671,20-449,9015,NA,"Note, Repeal",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
34-0902,20-439,3,PEND,Amend,P,,Critical Infrastructure Freedom on Information Amendment Act,61-10735
34-0902,20-459,3,NA,Note,E,01/01/15,Critical Infrastructure Freedom of Information Second Congressional Review Emergency Amendment Act of 2014,61-11374
34-0902,20-459,3,NA,Note,E,01/01/15,Critical Infrastructure Freedom of Information Second Congressional Review Emergency Amendment Act of 2014,61-11374
34-0912,20-377,2032,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
34-0912,20-424,2032,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
34-0912,20-449,2032,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
34-1251.03,20-481,262(a),NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
34-1252.02,20-481,262(b),NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
34-1253.01,20-481,262(c),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
34-1311.01 et al.,20-377,7010,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
34-1311.01 et al.,20-449,7010,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
34-1311.01 et al.,20-424,7010,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
34-1432,20-424,6052,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
34-1432,20-449,6052,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
34-1432,20-377,6062,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
34-1436,20-449,6063,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
34-1436,20-377,6073,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
34-1436,20-424,6063,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
34-1439,20-377,2112,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
34-1439,20-424,2112,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
34-1439,20-449,2112,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
34-1506,20-369,2,20-138,Note,T,07/01/15,Heat Wave Safety Temporary Amendment Act of 2014,61-07185
34-1507,20-385,102,20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
34-1507,20-385,502,20-142,Note,,,Sustainable DC Omnibus Act,61-08045
34-1671.11,20-385,103,20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
34-1671.11,20-385,502,20-142,Note,,,Sustainable DC Omnibus Act,61-08045
34-2202.06g,20-461,2(k),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
34-2202.06g,20-449,7010c(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
34-2202.06g,20-555,2(j),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
34-2202.06h,20-461,2(k),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
34-2202.06h,20-555,2(j),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
34-2202.06h,20-449,7010c(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
35-0233,20-424,2052,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
35-0233,20-449,2052,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
35-0233,20-377,2052,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
36-0304.01,20-481,211,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-0109,20-481,265(a),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-0110,20-481,265(b),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-0111,20-481,265(c),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-0191,20-449,4103,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0191,20-377,4052(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-0191,20-424,4052(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-0191,20-377,4103,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-0191,20-449,4102,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0191,20-449,4052(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0191,20-377,4102,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-0191,20-424,4103,PEND,Note,P,,FY 2015 Budget Support Act,61-09990
38-0191,20-424,4102,PEND,Note,P,,FY 2015 Budget Support Act,61-09990
38-0191,20-424,7042(a),PEND,Note,P,,FY 2015 Budget Support Act,61-09990
38-0191,20-377,7052(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-0191,20-449,7042(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0193,20-377,4122,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-0193,20-449,4122,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0193,20-424,4122,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-0194 - 38-0195,20-449,4052(b),NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0194 - 38-0195,20-377,4052(b),NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-0194 - 38-0195,20-424,4052(b),PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
38-0281,20-449,4072,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0281,20-377,4072,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-0281,20-424,4072,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
38-0282,20-424,4073,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
38-0282,20-377,4073,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-0282,20-449,4073,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0282.01,20-555,2(f)(2),PEND,"Note, New Sec",T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
38-0282.01,20-461,2(f),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
38-0283,20-449,4074,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0283,20-555,2(f)(3),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
38-0283,20-377,4074,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-0283,20-424,4074,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
38-0283,20-461,2(g),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
38-0284,20-377,4075,NA,"Note, New Sec",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-0284,20-449,4075,NA,"Note, New Sec",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0284,20-424,4075,PEND,New Section,P,,FY 2015 Budget Support Act,61-09990
38-0302,20-377,4042,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-0302,20-449,4042,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0302,20-424,4042,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-0353,20-488,302(a),PEND,Amend,,,Special Education Quality Improvement Act,61-12425
38-0354,20-488,302(b),PEND,Amend,,,Special Education Quality Improvement Act,61-12425
38-0757.01,20-461,2(k),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
38-0757.01,20-555,2(j),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
38-0757.01,20-449,7010b,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-0821.02,20-385,311(a),20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
38-0822.01,20-492,2 - 3,PEND,Note,,,Student Nutrition on Winter Weather Days Act,61-12454
38-0825.02,20-385,311(b),20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
38-0826.01,20-385,311(c),20-142,Amend,,,Sustainable DC Omnibus Act,61-08045
38-1011.02,20-449,9017(d),NA,"Note, Repeal",E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-1011.02,20-424,9017(d),PEND,Repeal,P,,FY 2015 Budget Support Act,61-09990
38-1011.02,20-377,9017(d),NA,"Note, Repeal",E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-1208.01,20-481,263(a),NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-1208.03,20-481,263(b),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-1208.04,20-481,263(c),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-1302,20-529,2(a),NA,Note,E,03/19/15,Education Licensure Commission Emergency Amendment Act of 2014,62-00004
38-1304,20-481,314,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-1306,20-529,2(b),NA,Note,E,03/19/15,Education Licensure Commission Emergency Amendment Act of 2014,62-00004
38-1307,20-529,2(c),NA,Note,E,03/19/15,Education Licensure Commission Emergency Amendment Act of 2014,62-00004
38-1309,20-529,2(d),NA,Note,E,03/19/15,Education Licensure Commission Emergency Amendment Act of 2014,62-00004
38-1800.02,20-488,102(a),PEND,Amend,,,Special Education Quality Improvement Act,61-12425
38-1802.01,20-424,4112,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-1802.01,20-449,4112,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-1802.01,20-377,4112,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-1802.02,20-488,102(b),PEND,Amend,,,Special Education Quality Improvement Act,61-12425
38-1802.06,20-488,102(c),PEND,Amend,,,Special Education Quality Improvement Act,61-12425
38-1802.06,20-377,4032,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-1802.06,20-449,4032,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-1802.06,20-424,4032,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-1802.10,20-488,102(d),PEND,Amend,,,Special Education Quality Improvement Act,61-12425
38-1802.11,20-424,4022,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-1802.11,20-377,4022,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-1802.11,20-449,4022,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-1805.52,20-481,315,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-2061.01,20-491,5,PEND,Amend,,,Retired District Employee Annuity Amendment Act,61-12450
38-2561.01,20-487,202(a),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2561.02,20-487,202(b),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2561.03,20-487,202(c),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2561.04,20-487,202(d),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2561.05,20-487,202(e),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2561.06,20-487,202(f),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2561.07,20-487,202(g),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2561.09,20-487,202(h),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2561.10,20-487,202(i),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2561.11,20-487,202(j),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2561.14,20-487,202(k),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2561.16,20-487,202(l),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2571.01 - .04,20-486,101 - 104,PEND,New Section,,,Special Education Student Rights Act,61-12411
38-2572.01 - .04,20-486,201 - 204,PEND,New Section,,,Special Education Student Rights Act,61-12411
38-2573.01,20-486,301,PEND,New Section,,,Special Education Student Rights Act,61-12411
38-2601.02,20-487,102(a),PEND,Amend,,,Enhanced Special Education Services Act,61-12419
38-2602,20-377,4076,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-2602,20-529,3,NA,Note,E,03/19/15,Education Licensure Commission Emergency Amendment Act of 2014,62-00004
38-2602,20-424,4076,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-2602,20-449,4076,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-2613,20-488,202,PEND,New Section,,,Special Education Quality Improvement Act,61-12425
38-2614,20-487,102(b),PEND,New Section,,,Enhanced Special Education Services Act,61-12419
38-2803,20-481,316,NA,Note,E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-2901,20-424,4012,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-2901,20-449,4012,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-2901,20-377,4012,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-2903,20-424,4002(a),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-2903,20-377,4002(a),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-2903,20-449,4002(a),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-2904,20-449,4002(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-2904,20-424,4002(b),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-2904,20-377,4002(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-2905,20-424,4002(c),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-2905,20-449,4002(c),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-2905,20-377,4002(c),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-2905.01,20-377,4002(d),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-2905.01,20-377,7006,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-2905.01,20-424,4002(d),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-2905.01,20-449,7006,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-2905.01,20-424,7006,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-2905.01,20-449,4002(d),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-2908,20-424,4082,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-2908,20-377,4082,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-2908,20-449,4082,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-2913,20-377,4062,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-2913,20-449,4062,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-2913,20-424,4062,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
38-2971.01,20-449,7042(b),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
38-2971.01,20-424,7042(b),PEND,Note,P,,FY 2015 Budget Support Act,61-09990
38-2971.01,20-377,7052(b),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
38-2973.01,20-481,264(a),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-2973.02,20-481,264(b),NA,"Note, Repeal",E,02/16/15,"New Columbia Statehood Initiative, Omnibus Boards and Commissions Reform, and Election Transition Emergency Amendment Act of 2014",61-12133
38-2981,20-554,2,PEND,New Section,P,,Turkey Bowl Revenue Generation and Sponsorship Act of 2014,62-00422
39-0203,20-449,1172,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
39-0203,20-377,1172,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
39-0203,20-424,1172,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
39-0205.01,20-424,7044,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
39-0205.01,20-377,7054,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
39-0205.01,20-449,7044,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
39-0501,20-449,2042,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
39-0501,20-424,2042,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
39-0501,20-377,2042,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
42-0405,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
42-0405,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
42-0405,20-409,202,NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
42-0405,20-449,7103(c),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
42-0405,20-424,7103(c),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
42-0405,20-378,203,20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
42-0405,20-377,7113(c),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
42-1102,20-424,7103(d),PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
42-1102,20-461,2(n),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
42-1102,20-377,7042,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
42-1102,20-555,2(t)(1),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
42-1102,20-378,204,20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
42-1102,20-449,7032,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
42-1102,20-424,7032,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
42-1102,20-449,7103(d),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
42-1102,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
42-1102,20-409,203,NA,Note,E,10/30/14,Residential Real Property Equity and Transparency Congressional Review Emergency Amendment Act of 2014,61-08281
42-1102,20-424,7104,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
42-1102,20-377,7113(d),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
42-1103,20-555,2(t)(2),PEND,Note,T,,F.Y. 2015 Budget Support Clarification Temporary Amendment Act of 2014,62-00424
42-1103,20-461,2(n),NA,Note,E,12/30/14,F.Y. 2015 Budget Support Clarification Emergency Amendment Act of 2014,61-11784
42-2151.01,20-493,2,PEND,New Section,,,Truth in Affordability Reporting Act,61-12561
42-2506,20-377,7023,NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
42-2506,20-424,7013,PEND,Amend,P,,FY 2015 Budget Support Act,61-09990
42-2506,20-449,7013,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
42-2801,20-482,2(a),PEND,Amend,,,Affordable Homeownership Preservation and Equity Accumulation Amendment Act,61-12156
42-2802,20-511,2,PEND,Amend,,,Housing Production Trust Fund Baseline Funding Act,61-12725
42-2802,20-482,2(b),PEND,Amend,,,Affordable Homeownership Preservation and Equity Accumulation Amendment Act,61-12156
42-2802.02,20-482,2(c),PEND,New Section,,,Affordable Homeownership Preservation and Equity Accumulation Amendment Act,61-12156
42-3131.05,20-449,7104,NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
42-3131.05,20-377,7113(e),NA,Note,E,10/12/14,FY 2015 Budget Support Emergency Act of 2014,61-07598
42-3131.05,20-449,7103(e),NA,Note,E,12/30/14,FY 2015 Budget Support Congressional Review Emergency Act of 2014,61-10915
42-3131.05,20-378,205,20-141,Amend,P,,Residential Real Property Equity and Transparency Act,61-07763
